plot_name,longitude,latitude
FBA_010_KP,164.9569662,-21.1638799
FBA_011_KP,164.981421,-21.138562
FBA_027_KP,164.92463,-20.98198
FBA_059_KP,164.9259828,-21.12543196
FBA_076_KP,164.9770433,-21.07826428
FBA_010_TC,165.3060613,-21.02949007
FBA_003_TC,165.2642732,-21.01841371
KB12-20,166.962267,-22.232975
FBA_006bis_TC,165.2754339,-21.00283888
Wekori,165.7252931,-21.37860638
Prokomeo,165.8697253,-21.49363895
Forêt Plate P09,165.122272,-21.146053
Tiwae,165.133563,-20.8148359
Arago,165.4765625,-21.24147606
Paeoua,165.0959734,-21.16776648
Forêt Plate P26,165.111632,-21.133673
Calcaires de Koumac,164.355251,-20.539273
Aoupinié,165.277313,-21.177801
Forêt Plate P17,165.107077,-21.122677
Ateou,164.9203294,-20.95063655
Forêt Plate P12,165.120361,-21.148142
Kouaoua,165.7504764,-21.43766426
Laguen,164.780212,-20.62504
Col d'Amoss,164.4378742,-20.30602285
Grand Lac,166.9039194,-22.27494722
Katalupaï,165.008391,-20.85251455
Bouirou,165.545395,-21.416931
Tiebaghi,164.2260028,-20.43131151
Gohapin,165.2407684,-21.25712776
Djeve,165.434952,-21.226105
TOM_06,165.2893,-21.23408
TOM_16,165.2583,-21.19353
TOM_03,165.261,-21.22019
TOM_08,165.2844,-21.20517
TOM_14,165.2642,-21.18783
TOM_11,165.2713,-21.18858
TOM_10,165.2762,-21.19061
TOM_07,165.2927,-21.23489
Forêt Nord 05,166.9166028,-22.32164722
Superbe 11,166.5906417,-22.15543889
Superbe 10,166.5912194,-22.15519167
Wadjana 07,167.0039444,-22.28677778
AOUPINIE - Parcelle 01 (970m),165.26925,-21.17713889
Demazures 01,166.6232,-22.1944
DUM_P06,166.4803455,-22.03847864
Superbe 08,166.59415,-22.15455833
YatéBarrage 01,166.8918889,-22.15380556
Goa 03,165.3203056,-21.12865556
DUM_P08,166.5025141,-22.04243269
Wadjana 18,166.9950556,-22.27636111
Tiwae 03,165.1376667,-20.82269444
Demazures 07,166.6247222,-22.19758333
Gohapin 02,165.2991667,-21.19694444
AOUPINIE - Parcelle 03 (600m),165.3033611,-21.20469167
Ponandou 01,165.2197222,-20.81833333
Tao 01,164.7738056,-20.57008333
Forêt Nord 02,166.9154444,-22.32361111
Kouakoue 04,166.493505,-21.945976
Goa 14,165.3275194,-21.16229722
Wadjana 20,166.9943889,-22.27655556
Forêt Nord 12,166.9175472,-22.32334722
