"species","beta_.Intercept.","beta_ultramafic","beta_bio1","beta_bio4","beta_bio12","beta_bio15","beta_cwd","beta_.bio1.2.","beta_.bio4.2.","beta_.bio12.2.","beta_.bio15.2.","beta_.cwd.2.","beta_.log.aire..","lambda_1","lambda_2"
"Cryptocarya.conduplicata",-0.134202511142325,-1.46596385247475,1.0191258022045,-0.673862110742595,-0.922672065633076,0.522400127247857,-0.969093479926418,0.563329330077506,-0.870256645822673,-0.77552577094353,0.374257097184211,-0.955421914008347,0.269535575200645,0.065876501051295,-0.409611605018019
"Syzygium.rhopalanthum",-1.29978570664809,0.299539356329388,1.35616645315102,0.455106537170669,0.119051437405755,-0.270093334367545,0.108399703155233,1.7801623955841,0.64789730982737,-0.174699162268499,-0.23197505490214,0.937378597143335,0.24144182387116,0.467257059720232,0.109497851003594
"Garcinia.hennecartii",-0.412773007379325,0.0848637387137386,0.967180541952295,-0.491084842587486,0.0716472526154683,-0.122167507297389,0.374683804945041,0.73153128331379,-0.445912586662348,-0.522277431902759,-0.0385151996839092,0.958416050526427,0.254618336547653,0.810971623193623,1.25295883443223
"Didymocheton.canalensis",-0.560072730956696,0.281249234606451,0.683679478443735,-0.659869276806543,0.0293023581698736,0.344763114145467,0.40392398919953,0.607466154665356,-0.708352978528799,0.147091231010955,0.33469402846964,1.06860657292884,0.240259427110327,-0.234617637936625,0.862375568703926
"Xylopia.vieillardii",-0.832590032090986,-0.318190366925299,1.1204347813687,-0.714096192157945,-0.87603242508466,-0.0371772309466281,-1.04355364790217,0.738619316229315,-0.745342277342106,-1.05076781398845,0.256236335834343,-1.41198836354135,0.254090634668196,-0.737504582174889,-0.551103606445569
"Plerandra.gabriellae",0.020845381986804,-0.0634099197314935,0.952409902882894,-0.192555350468032,-0.288394689219631,0.583406458019407,-0.957728866454852,0.980696084078666,-0.623559582823176,-1.18256670436426,0.179681253840623,-0.918800120039954,0.279153074772265,-0.588540577938507,-0.514935941268951
"Elaeocarpus.yateensis",-1.01912206312817,0.920885574841469,0.383567705656989,-0.832085175850251,-0.584134169648617,0.112849375068204,0.873309690231357,0.422231715096859,-0.841482867068546,-0.620868259353134,0.250671235358263,-0.203838471017344,0.261587387890526,-0.21579113125204,0.857371761153253
"Pycnandra.canaliculata",-1.37957552082256,0.275950399794982,0.607587875385158,-0.68175169371577,-0.142214409349213,0.412761991971295,0.858750176515084,0.586290928476871,-0.597284972374655,0.0543607635969934,0.298980080344847,0.493388428543249,0.246087202579964,-0.045158435935745,1.15772878143326
"Didymocheton.rufescens",-1.0593067300318,-0.509209715153347,1.4918585134267,0.39838596316157,0.0175719281992575,0.51490120547397,-0.880812353898162,1.74974883126158,0.487886691431484,-0.240853165791065,0.461971787703802,0.22317407610974,0.249165126053106,-0.0445041209188381,-0.345165438416217
"Scagea.depauperata",-0.965351676736838,0.466957276380048,0.743223959632804,-0.657791183568031,-0.47075919276928,0.182006071050489,0.475008793309345,0.666513668877762,-0.74840852910568,-0.351527210571199,0.196033907752999,0.691312451671126,0.246314245037911,-0.0410499296906465,0.909697332702381
"Tristaniopsis.reticulata",-1.08681320127925,0.56044568283262,0.538634304010802,-0.841610356511072,-0.316797770880546,0.214366062220717,0.568627852970485,0.596685012671477,-0.851944628193088,-0.50416663217268,0.198642428358603,0.440548537784311,0.254833711203068,-0.205684947104378,0.759919022894163
"Planchonella.endlicheri",-0.547853296048192,0.75447761586768,0.780093456478058,-0.782536966450366,-0.739674863621483,0.227388129505437,0.152247741134506,0.75511569643513,-0.556897805584106,-0.637017166504675,0.220542705785334,-1.35926201468523,0.260582348132854,-1.04824817775342,0.761424200946409
"Apodytes.clusiifolia",1.22639719912025,-0.237695686798698,0.0477900132665423,-1.02364964327371,-0.156372334713021,0.35832355575058,-0.787598114158137,0.85273174237638,-0.664883781896029,-0.954106871365068,0.381544725949805,1.61444724840732,0.213007867551717,-0.00231604824750431,0.167625212598474
"Tapeinosperma.vieillardii",-0.765581895938997,-1.80013408414271,0.864251180299285,-0.0923705374143451,-0.575199867366454,-0.159029434753117,0.492162357279269,0.748281021620038,-0.245775958039882,-0.120414989028788,0.0697511242739419,0.0863783665656362,0.247459565796218,0.0541010975526153,-0.585374596776637
"Storthocalyx.pancheri",-0.807886715458851,-0.187532472100748,0.717383052901919,-0.647902223774645,-0.163172835382196,0.282387895060088,0.537444276182331,0.671079878918484,-0.646725215421333,-0.469950400097405,0.285306838065843,0.0981224589884381,0.253317101553967,0.28751940209813,1.12163046471901
"Metrosideros.nitida",-0.397602927720526,-0.544493252180503,0.264850798471915,-0.641268960336666,-0.62097978196255,-0.0767096977179307,-0.0135667240710091,0.717783338507167,-0.608165470672117,-1.35335514142418,-0.0887583182555534,-0.268651338648009,0.246320459901451,1.02893841145695,0.174057528884738
"Pleioluma.longipetiolata",-1.23709507899352,0.371724938151572,0.495668288932192,-0.647586222697353,-0.408389741959605,0.260314764621643,0.126423641941852,0.581776196282797,-0.647276190692468,-0.102932180658807,0.168674916015225,0.446585046238515,0.245705440492485,-0.194543061790471,0.593804828949627
"Amphorogyne.spicata",-0.682585377821309,-1.13595436565669,0.844759533598684,-0.596903282336337,-1.20046067510865,0.139388471655399,-0.812130200261146,0.644420352456372,-0.717565782895744,-1.17986424466339,0.229446610614101,-0.86284375984961,0.241899573196748,0.412119571323355,0.487872328314768
"Storthocalyx.chryseus",0.266286021613294,-0.727639936949922,0.583767157332482,-0.365815099451043,-0.389848058911464,0.258198159718963,0.904377469002705,0.533407379461879,-0.619006347028545,0.000396079322670833,-0.154647214037337,0.074036959843678,0.212400619680425,-0.404982075429819,0.369200265261635
"Anthocarapa.nitidula",-0.432302344481073,-1.42385121543312,0.783268364667202,-0.732116837159012,-0.231780501427812,0.40948335491519,-0.0925252126137048,0.344340182469514,-0.85076554764936,-0.267441950025991,0.696638397420897,-0.295805579173374,0.255721814924466,-0.0826149435712193,-0.382605597621435
"Pancheria.ternata",-0.189877768642094,0.162587892836014,0.777775933908261,-0.732198541250988,-0.544334302774833,0.057615841116376,-0.119342729079066,0.74661033153193,-0.424304259067416,-0.649757992104467,0.159515682114852,-0.0692086092378357,0.287073530330541,0.0357085967569102,0.499907833395482
"Alphitonia.neocaledonica",-0.0742121560404527,0.48307639248561,0.867555217196599,-0.467870437611222,-0.384386477339835,-0.0616341016442966,0.299069148737958,0.817828562149192,-0.518091235162903,-0.594774654893787,-0.097459269110907,0.318402317519403,0.247154222975034,0.0150776731136972,1.0918917710148
"Codia.jaffrei",-1.51919509324984,1.13254730530745,1.20529284389899,0.0127943133251781,-0.128526416136346,-0.181858524776721,0.253804893050733,1.06833047183175,-0.0810353638737581,-0.0491867754058483,-0.059769520618892,0.165376724055179,0.269429520106019,-0.0717209410990362,0.554054558765465
"Semecarpus.neocaledonica",-0.179127372724865,0.208776771418058,0.963275235221587,-0.0757101462786209,-0.19047631537105,0.129248033900317,0.956461345878099,0.809309997435448,-0.31483074365045,-0.13201194459524,0.0919912430602074,0.497990215358756,0.240048679127496,-0.631671797864011,0.829626796499817
"Ficus.austrocaledonica",-0.456312508460826,-0.151725270084726,0.261407233844492,-1.01825947925392,-0.394228004414598,0.843811319883584,0.194989373534197,0.612740943666969,-1.16461288324384,-0.48649980660702,0.600523677933561,0.12372269573516,0.278795328486474,-0.369619506983333,0.344868432316685
"Austrobuxus.huerlimannii",-1.24886957110198,0.432748625329835,0.647985487230441,-0.743473761095184,-0.225994755575795,0.221131636182293,0.947501589590831,0.733989245513273,-0.665306624854545,-0.112535826014895,0.22178023411962,0.892681526865587,0.239457917502078,-0.552809602007542,0.959826426360386
"Diospyros.fasciculosa",1.27686668106915,-1.4111353478346,1.28425634555351,-0.545865616789635,-0.931830912394115,0.707317966149331,1.65070270528419,1.35005696704676,-0.341385235436305,-0.689859496280755,0.604450562807838,0.158042004529439,0.250571791481359,-0.952692797025411,-1.27090819414699
"Syzygium.mouanum",-1.17388277250107,0.684280023384207,0.340032894071473,-0.545606191111875,-0.411534087458795,0.2714386756825,0.171852721634907,0.429871192475486,-0.478167692342828,-0.202535247370869,0.320564621731618,1.1087787577967,0.254844102547339,0.0871752241759841,0.214237588277249
"Garcinia.virgata",-0.527418154697284,-1.96852275223942,1.04520614587999,-0.281203499356583,-0.753087385141968,0.303211182801684,-1.28488651399786,0.822532591332309,-0.209619562078911,-0.85425354726394,0.425309514049958,-0.897307195677699,0.276389516042314,0.576109604363282,-0.155118823698548
"Pleurocalyptus.pancheri",-0.723519717176899,0.218607362756473,0.186917004625889,-0.871961687350655,-0.506260308012093,0.144316303359157,0.365212297761531,0.259710149610797,-0.957051372870643,-0.740352622708498,0.0702501363340288,0.983106484262525,0.236042212068091,-0.503643582576516,1.25237235675872
"Hibbertia.pancheri",0.0488751500235473,-0.0196912607500797,0.67722369487849,-0.835751726339521,0.0902433340351094,0.511869414011386,0.270564846741568,0.565295178755276,-0.719795937366655,-0.662231527299283,0.143009277692665,0.341726714318196,0.229061443475361,0.713958461622685,0.932541081714268
"Hedycarya.cupulata",-0.135415911254613,-0.479614519606998,0.870982467751776,-0.427054742747521,0.378397811900879,0.345952712517428,-0.588697653725887,1.10998951324403,-0.474015982842581,-1.02940570621631,0.331658591833518,-0.36337600693185,0.266996082071684,-0.43424319893376,-1.05841318131145
"Montrouziera.sphaeroidea",-0.825524364973948,0.625221881148517,1.25646628262694,0.0311584985184741,-0.598655488691277,-0.231597041799248,1.61917505754164,0.652246330692581,-0.244898381001508,0.127311687335868,-0.146275786167755,-0.217291694143846,0.247883415456648,1.26227046300416,0.716036844316835
"Ficus.racemigera",-0.723373688385674,-1.12006838328348,0.811600432094643,-0.74542405232123,-0.378778871308561,0.544415175745325,-0.548112106798808,0.810032513206668,-0.888226757375142,-0.291782474186418,0.655616087300467,0.283861424425715,0.263093133813681,-0.895547323499053,-1.20533376163755
"Dacrydium.araucarioides",-1.23240707150596,0.248556182925811,0.546484761045701,-1.1601509984146,-0.340784343959555,-0.0857190299011647,0.796315763551475,0.671978419944935,-1.14932179496648,-0.172547529917917,-0.087218012527445,0.878587387589818,0.251850782753487,1.80637806033631,0.280246075507743
"Storckiella.pancheri",0.699140253658188,-1.16302292824618,0.815416607522495,-1.07305198217588,-1.19480989269573,0.064393681645397,0.270624662763087,0.700920852030392,-0.659526880686839,-0.399938835700402,0.28899833332913,0.114071209315774,0.226967623242839,-0.869183092289367,0.872368877642763
"Planchonella.wakere",-0.0959584399084858,0.486288971811949,0.437457703063381,-1.14120860682612,-0.834590646930866,-0.0385395298779064,0.265266218409556,0.277874214620233,-0.875205653347617,-0.561606041832922,0.123499326484832,0.196540033681374,0.28409685916781,-0.261735360513662,0.251655420781415
"Agathis.moorei",-0.635133385162148,-2.04967303967022,0.677844492753909,-0.499996370229122,-0.388411253015914,0.581880576620393,0.0444029202798139,0.51825917411312,-0.358588279711943,-0.57185486622748,0.571243681617782,-0.225512565373577,0.253258197193903,0.142830532907964,-0.113358015432266
"Neoguillauminia.cleopatra",-0.145466324079244,0.484271643082904,1.02094442198745,-0.380397082409473,-0.158962466941961,0.109800704161893,0.124302772998876,0.932071292519485,-0.507213189423704,-0.443682396184387,0.136856602159067,0.511279362680519,0.24899440402982,0.347972944198109,0.828234300335794
"Myrsine.citrifolia",-0.81305797380807,-0.714150464123686,0.210465829586129,-0.823441172900877,-0.384262312603218,0.388596595959637,0.23879240783149,0.193033027269873,-0.712037084488065,-0.540775685288425,0.537363078149968,0.697148270215025,0.260961032423042,-0.416000177611109,-0.342483909262293
